symbol,anterior,approximant,back,consonantal,constricted glottis,continuant,coronal,delayed_release,diphthong,distributed,dorsal,front,front-diphthong,high,labial,labiodental,lateral,long,low,nasal,round,segment,sonorant,spread glottis,stress,strident,syllabic,tap,tense,trill,voice
a,0,+,-,-,-,+,-,0,-,0,+,-,0,-,-,-,-,-,+,-,-,+,+,-,-,0,+,-,0,-,+
æ,0,+,-,-,-,+,-,0,-,0,+,+,0,-,-,-,-,-,+,-,-,+,+,-,-,0,+,-,0,-,+
aɪ,0,+,-,-,-,+,-,0,+,0,+,-,+,-,-,-,-,-,+,-,-,+,+,-,+,0,+,-,0,-,+
aʊ,0,+,-,-,-,+,-,0,+,0,+,-,-,-,-,-,-,-,+,-,-,+,+,-,+,0,+,-,0,-,+
ɑ,0,+,+,-,-,+,-,0,-,0,+,-,0,-,-,-,-,-,+,-,-,+,+,-,-,0,+,-,0,-,+
ɒ,0,+,+,-,-,+,-,0,-,0,+,-,0,-,+,-,-,-,+,-,+,+,+,-,-,0,+,-,0,-,+
b,0,-,0,+,-,-,-,-,0,0,-,0,0,0,+,-,-,-,0,-,-,+,-,-,-,0,-,-,0,-,+
bd,+,-,0,+,-,-,+,-,0,-,-,0,0,0,+,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,+
bv,0,-,0,+,-,-,-,+,0,0,-,0,0,0,+,+,-,-,0,-,-,+,-,-,-,0,-,-,0,-,+
bβ,0,-,0,+,-,-,-,+,0,0,-,0,0,0,+,-,-,-,0,-,-,+,-,-,-,0,-,-,0,-,+
ʙ,0,+,0,+,-,+,-,0,0,0,-,0,0,0,+,-,-,-,0,-,-,+,+,-,-,0,-,-,0,+,+
c,-,-,-,+,-,-,+,-,0,+,+,+,0,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,-,-
ç,-,-,-,+,-,+,+,+,0,+,+,+,0,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,-,-
cç,-,-,-,+,-,-,+,+,0,+,+,+,0,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,-,-
ɕ,+,-,-,+,-,+,+,+,0,+,+,+,0,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,0,-,-
d,+,-,0,+,-,-,+,-,0,-,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,-,-,-,0,-,+
ð,+,-,0,+,-,+,+,+,0,+,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,-,-,-,0,-,+
dð,+,-,0,+,-,-,+,+,0,+,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,-,-,-,0,-,+
dɮ,+,-,0,+,-,-,+,+,0,-,-,0,0,0,-,-,+,-,0,-,-,+,-,-,-,-,-,-,0,-,+
dz,+,-,0,+,-,-,+,+,0,-,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,+
dʑ,+,-,-,+,-,-,+,+,0,+,+,+,0,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,0,-,+
dʒ,-,-,0,+,-,-,+,+,0,+,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,+
ɖ,-,-,0,+,-,-,+,-,0,-,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,-,-,-,0,-,+
ɖʐ,-,-,0,+,-,-,+,+,0,-,-,0,0,0,-,-,-,-,0,-,-,+,-,-,-,+,-,-,0,-,+
e,0,+,-,-,-,+,-,0,-,0,+,+,0,-,-,-,-,-,-,-,-,+,+,-,-,0,+,-,+,-,+
eɪ,0,+,-,-,-,+,-,0,+,0,+,+,+,-,-,-,-,-,-,-,-,+,+,-,+,0,+,-,+,-,+
ə,0,+,-,-,-,+,-,0,-,0,+,-,0,-,-,-,-,-,-,-,-,+,+,-,-,0,+,-,-,-,+
ɛ,0,+,-,-,-,+,-,0,-,0,+,+,0,-,-,-,-,-,-,-,-,+,+,-,-,0,+,-,-,-,+
ɘ,0,+,-,-,-,+,-,0,-,0,+,-,0,-,-,-,-,-,-,-,-,+,+,-,-,0,+,-,+,-,+
ɞ,0,+,-,-,-,+,-,0,-,0,+,-,0,-,+,-,-,-,-,-,+,+,+,-,-,0,+,-,-,-,+
ɤ,0,+,+,-,-,+,-,0,-,0,+,-,0,-,-,-,-,-,-,-,-,+,+,-,-,0,+,-,+,-,+
f,0,-,0,+,-,+,-,+,0,0,-,0,0,0,+,+,-,-,0,-,-,+,-,-,-,0,-,-,0,-,-
ɡ,0,-,0,+,-,-,-,-,0,0,+,0,0,+,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,+
ɡb,0,-,0,+,-,-,-,-,0,0,+,0,0,+,+,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,+
ɡɣ,0,-,0,+,-,-,-,+,0,0,+,0,0,+,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,+
ɢ,0,-,+,+,-,-,-,-,0,0,+,-,0,-,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,+
ɢʁ,0,-,+,+,-,-,-,+,0,0,+,-,0,-,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,+
ɣ,0,-,0,+,-,+,-,+,0,0,+,0,0,+,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,+
h,0,-,0,-,-,+,-,+,0,0,-,0,0,0,-,-,-,-,0,-,-,+,-,+,-,0,-,-,0,-,-
ħ,0,-,+,+,-,+,-,+,0,0,+,-,0,-,-,-,-,-,+,-,-,+,-,-,-,0,-,-,0,-,-
ɦ,0,-,0,-,-,+,-,+,0,0,-,0,0,0,-,-,-,-,0,-,-,+,-,+,-,0,-,-,0,-,+
ɧ,-,-,0,+,-,+,+,+,0,+,+,0,0,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,0,-,-
i,0,+,-,-,-,+,-,0,-,0,+,+,0,+,-,-,-,-,-,-,-,+,+,-,-,0,+,-,+,-,+
ɪ,0,+,-,-,-,+,-,0,-,0,+,+,0,+,-,-,-,-,-,-,-,+,+,-,-,0,+,-,-,-,+
ɨ,0,+,-,-,-,+,-,0,-,0,+,-,0,+,-,-,-,-,-,-,-,+,+,-,-,0,+,-,+,-,+
j,0,+,-,-,-,+,-,0,0,0,+,+,0,+,-,-,-,-,-,-,-,+,+,-,-,0,-,-,+,-,+
ʝ,-,-,-,+,-,+,+,+,0,+,+,+,0,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,-,+
ɟ,-,-,-,+,-,-,+,-,0,+,+,+,0,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,-,+
ɟʝ,-,-,-,+,-,-,+,+,0,+,+,+,0,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,-,+
k,0,-,0,+,-,-,-,-,0,0,+,0,0,+,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,-
kp,0,-,0,+,-,-,-,-,0,0,+,0,0,+,+,-,-,-,-,-,-,+,-,-,-,0,-,-,0,-,-
